# 365 Pico2 RP2350 Project Ideas

A year-long journey through embedded systems with the Raspberry Pi Pico 2 (RP2350) using Embassy Rust. 

---

## 📦 Kit Components

| Quantity | Component |
|----------|-----------|
| 1 | Solderless Prototype Breadboard |
| 1 | T-type GPIO Extension Board |
| 1 | 40 Pin Ribbon Cable |
| 1 | I2C 1602 LCD Module |
| 1 | Servo Motor |
| 1 | 5V 1-Channel Relay Module |
| 1 | DHT11 Temperature & Humidity Sensor Module |
| 1 | BMP180 Digital Barometric Pressure Sensor Module |
| 1 | HC-SR501 Infrared Motion Sensor Module |
| 3 | Potentiometer (10kΩ adjustable resistor) |
| 1 | SW-520D Tilt Switch Sensor Module |
| 1 | 16 Channel 12 Bit PWM Servo Driver |
| 1 | Analog To Digital Converter |
| 1 | Active Buzzer Module |
| 3 | GL5516 Photoresistor (Light Sensor) |
| 24 | LEDs (6 White, 6 Red, 6 Yellow, 6 Green) |
| 1 | MB102 3. 3V/5V Power Supply Module |
| 5 | Push Buttons |
| 1 | Infrared Receiver (VS1838B) |
| 1 | Infrared Remote Controller |
| 20 | Resistors (10kΩ) |
| 20 | Resistors (1kΩ) |
| 5 | Resistors (1MΩ) |
| 20 | Resistors (200Ω) |
| 1 | 40 Pin Jumper Wires (15cm, M to M) |
| 2 | 8 Pin Jumper Wires (20cm, F to F) |
| 1 | 20 Pin Jumper Wires (15cm, M to F) |

---

## 🔴 LED Projects (Days 1-40)

| Day | Project | Difficulty |
|-----|---------|------------|
| 1 | Blink a single LED | ⭐ |
| 2 | Blink multiple LEDs in sequence | ⭐ |
| 3 | Traffic light simulation (Red, Yellow, Green) | ⭐ |

| 4 | LED brightness control with PWM | ⭐ |

| 5 | Fade LED in and out smoothly | ⭐ |
| 6 | LED chaser/Knight Rider effect | ⭐⭐ |
| 7 | Binary counter with 4 LEDs | ⭐⭐ |
| 8 | Random LED blinker | ⭐ |
| 9 | LED dice roller (1-6 pattern display) | ⭐⭐ |
| 10 | Morse code transmitter with LED | ⭐⭐ |
| 11 | SOS signal flasher | ⭐ |
| 12 | Breathing LED effect | ⭐⭐ |
| 13 | LED VU meter simulation | ⭐⭐ |
| 14 | Alternating LED blinker | ⭐ |
| 15 | LED heartbeat pattern | ⭐⭐ |
| 16 | Potentiometer-controlled LED brightness | ⭐⭐ |
| 17 | LED bar graph display | ⭐⭐ |
| 18 | Multi-color LED pattern sequencer | ⭐⭐ |
| 19 | LED reaction time game | ⭐⭐⭐ |
| 20 | Potentiometer-controlled blink speed | ⭐⭐ |
| 21 | LED status indicator system | ⭐⭐ |
| 22 | LED countdown timer display | ⭐⭐ |
| 23 | LED wave effect (left to right) | ⭐⭐ |
| 24 | LED ping-pong effect | ⭐⭐ |
| 25 | LED memory game (Simon Says prep) | ⭐⭐⭐ |
| 26 | Button-controlled LED toggle | ⭐ |
| 27 | Button-controlled LED color selector | ⭐⭐ |
| 28 | LED brightness levels (5 steps) | ⭐⭐ |
| 29 | LED candle flicker effect | ⭐⭐ |
| 30 | LED firefly simulation | ⭐⭐ |
| 31 | LED police siren lights | ⭐⭐ |
| 32 | LED railroad crossing signal | ⭐⭐ |
| 33 | LED power-on sequence animation | ⭐⭐ |
| 34 | LED shutdown sequence animation | ⭐⭐ |
| 35 | LED error code blinker | ⭐⭐ |
| 36 | LED party mode (random patterns) | ⭐⭐ |
| 37 | LED compass direction indicator | ⭐⭐ |
| 38 | LED battery level indicator | ⭐⭐ |
| 39 | LED network activity simulator | ⭐⭐ |
| 40 | LED Christmas tree pattern | ⭐⭐ |

---

## 🔘 Button Projects (Days 41-65)

| Day | Project | Difficulty |
|-----|---------|------------|
| 41 | Simple button press detection | ⭐ |
| 42 | Button with debouncing | ⭐⭐ |
| 43 | Button press counter | ⭐ |
